 ,,,,,,,,,
,Salesperson,ID Number,Date,Sale Amount,Commission,,Salesperson,Sale Amount,Commission
,Kennedi Singh,124300,12/07/2022,"$5,436","$1,087",,Harley Fritz,"$6,197","$1,239"
,Harley Fritz,149160,09/07/2022,"$6,197","$1,239",,,,
,Nyla Novak,152143,11/07/2022,"$7,065","$1,413",,,,
,David Rasmussen,121715,06/07/2022,"$8,054","$1,611",,,,
,Ivan Hines,109543,10/07/2022,"$9,182","$1,836",,,,
,Jonah Higgins,120497,13/07/2022,"$10,467","$2,093",,,,
,Jordan Boone,122907,15/07/2022,"$2,446",$489,,,,
,Kylee Townsend,98326,12/07/2022,"$2,691",$538,,,,
,Nora Rollins,88493,14/07/2022,"$2,960",$592,,,,
,Steven Michael,97343,09/07/2022,"$3,256",$651,,,,
,Lucia Mckay,99289,13/07/2022,"$3,582",$716,,,,
,Josue Roach,79432,16/07/2022,"$3,940",$788,,,,
,Franklin Wright,71488,18/07/2022,"$4,334",$867,,,,
,Alia Thornton,78637,15/07/2022,"$4,767",$953,,,,
,Denzel Flores,80210,17/07/2022,"$5,244","$1,049",,,,
,Bruno Cordova,64168,12/07/2022,"$5,768","$1,154",,,,
,Jaylynn Knapp,57751,16/07/2022,"$5,192","$1,038",,,,
,Bruce Rich,63526,19/07/2022,"$6,749","$1,350",,,,
,Arturo Moore,64797,21/07/2022,"$8,774","$1,755",,,,
,Bryce Carpenter,51837,18/07/2022,"$11,406","$2,281",,,,
,Jaidyn Andersen,46654,20/07/2022,"$6,650","$1,330",,,,
,Bill Smith,51319,15/07/2022,"$7,341","$1,468",,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
