 ,,,,,,,,,
,Commissions by Salesperson,,,,,,Salesperson,Year,Commission
,Figures in USD,2019,2020,2021,2022,,Harley Fritz,2020,"$1,425"
,Kennedi Singh,"$1,087","$1,250","$1,188","$1,414",,,,
,Harley Fritz,"$1,239","$1,425","$1,354","$1,611",,,,
,Nyla Novak,"$1,413","$1,625","$1,544","$1,837",,,,
,David Rasmussen,"$1,611","$1,852","$1,760","$2,094",,,,
,Ivan Hines,"$1,836","$2,112","$2,006","$2,387",,,,
,Jonah Higgins,"$2,093","$2,407","$2,287","$2,722",,,,
,Jordan Boone,$489,$563,$535,$636,,,,
,Kylee Townsend,$538,$619,$588,$700,,,,
,Nora Rollins,$592,$681,$647,$770,,,,
,Steven Michael,$651,$749,$711,$847,,,,
,Lucia Mckay,$716,$824,$783,$931,,,,
,Josue Roach,$788,$906,$861,"$1,024",,,,
,Franklin Wright,$867,$997,$947,"$1,127",,,,
,Alia Thornton,$953,"$1,096","$1,042","$1,240",,,,
,Denzel Flores,"$1,049","$1,206","$1,146","$1,364",,,,
,Bruno Cordova,"$1,154","$1,327","$1,260","$1,500",,,,
,Jaylynn Knapp,"$1,038","$1,194","$1,134","$1,350",,,,
,Bruce Rich,"$1,350","$1,552","$1,475","$1,755",,,,
,Arturo Moore,"$1,755","$2,018","$1,917","$2,281",,,,
,Bryce Carpenter,"$2,281","$2,623","$2,492","$2,966",,,,
,Jaidyn Andersen,"$1,330","$1,530","$1,453","$1,729",,,,
,Bill Smith,"$1,468","$1,688","$1,604","$1,909",,,,
